DateTime,Entries,UniqueIPs
1606173123,6429,6745
1606173723,6429,6744
1606174924,6428,6743
1606176724,6423,6736
1606177924,6422,6735
1606179123,6419,6732
1606180323,6422,6735
1606183924,6423,6736
1606185123,6422,6735
1606186324,6418,6731
1606188123,6414,6727
1606190524,6411,6724
1606191724,6407,6720
1606192924,6408,6721
1606194124,6402,6715
1606196523,6401,6714
1606197124,6400,6713
1606197724,6403,6716
1606198924,6403,6716
1606200124,6402,6715
1606201924,6402,6715
1606203124,6403,6716
1606204324,6401,6714
1606206724,6402,6715
1606208524,6399,6712
1606210324,6398,6711
1606212124,6393,6706
1606213924,6392,6705
1606214524,6390,6703
1606215124,6391,6704
1606216324,6413,6726
1606218124,6411,6724
1606218724,6408,6721
1606220523,6410,6723
1606221124,6410,6723
1606221723,6412,6725
1606222323,6410,6722
1606223524,6411,6723
1606225324,6408,6720
1606226524,6409,6721
1606228923,6402,6714
1606230124,6421,6734
1606230724,6419,6732
1606231925,6420,6733
1606236123,6422,6735
1606236724,6423,6736
1606237924,6419,6732
1606239724,6423,6736
1606240924,6424,6737
1606242124,6426,6739
1606242724,6423,6736
1606243325,6422,6735
1606245724,6425,6738
1606246924,6409,6723
1606248124,6404,6718
1606249324,6404,6721
1606251124,6402,6719
1606251724,6401,6718
1606252324,6399,6716
1606254124,6400,6717
1606254724,6401,6718
1606255924,6399,6716
1606257124,6402,6719
1606257724,6403,6720
1606259524,6403,6720
1606261324,6407,6724
1606263723,6406,6723
1606264324,6378,6695
1606265523,6358,6674
1606266724,6356,6672
1606269124,6355,6671
1606270323,6353,6669
1606271524,6353,6668
1606273324,6348,6662
1606274524,6345,6659
1606275724,6346,6660
1606276324,6346,6659
1606277524,6346,6659
1606280524,6347,6660
1606281124,6389,6703
1606282324,6385,6699
1606283524,6388,6702
1606284124,6388,6702
1606286524,6391,6705
1606287723,6392,6706
1606288924,6392,6706
1606290724,6393,6707
1606292524,6394,6708
1606293724,6393,6707
1606294923,6398,6712
1606296123,6396,6710
1606297324,6395,6709
1606303324,6397,6711
1606305124,6397,6710
1606305724,6396,6709
1606308123,6396,6709
1606309324,6398,6711
1606311724,6400,6713
1606312924,6400,6713
1606313523,6401,6714
1606314124,6402,6715
1606316524,6397,6710
1606317723,6404,6717
1606318324,6404,6717
1606319524,6397,6710
1606320123,6395,6708
1606321323,6395,6708
1606322523,6397,6710
1606323124,6401,6714
1606324924,6402,6715
1606325523,6403,6716
1606326123,6404,6717
1606329724,6405,6718
1606330923,6411,6724
1606332123,6413,6725
1606333324,6416,6728
1606335723,6412,6724
1606336924,6412,6724
1606337523,6416,6728
1606338123,6417,6729
1606339324,6415,6726
1606339924,6418,6729
1606342323,6419,6730
1606343524,6419,6730
1606344723,6420,6731
1606346523,6419,6730
1606347123,6420,6731
1606347723,6423,6734
1606348323,6421,6732
1606348924,6418,6729
1606350123,6420,6731
1606351323,6419,6731
1606351923,6416,6728
1606353123,6417,6729
1606354324,6416,6728
1606355524,6417,6729
1606356124,6415,6727
1606358523,6416,6728
1606359723,6416,6728
1606360924,6410,6722
1606362124,6408,6720
1606362724,6407,6719
1606363924,6408,6720
1606364524,6406,6718
1606365723,6401,6712
1606366923,6399,6710
1606368123,6406,6717
1606369324,6360,6670
1606369924,6362,6672
1606370524,6358,6668
1606371723,6358,6668
1606373523,6357,6667
1606374724,6359,6669
1606377123,6360,6670
1606377723,6358,6668
1606378923,6357,6667
1606380123,6356,6666
1606380723,6357,6667
1606382524,6379,6689
1606383724,6381,6691
1606384324,6378,6688
1606387324,6379,6689
1606387924,6380,6687
1606388523,6377,6683
1606389123,6376,6682
1606389723,6373,6679
1606390923,6370,6676
1606391523,6363,6669
1606392724,6357,6663
1606393323,6358,6664
1606394524,6357,6663
1606396324,6354,6660
1606396923,6355,6661
1606397523,6354,6660
1606398124,6355,6661
1606398723,6357,6663
1606399923,6357,6663
1606401723,6358,6664
1606402923,6356,6662
1606404123,6357,6664
1606405923,6358,6665
1606408923,6351,6658
1606410124,6350,6657
1606411323,6351,6658
1606413124,6349,6656
1606413723,6347,6654
1606416123,6344,6651
1606417924,6343,6650
1606418523,6344,6650
1606419723,6342,6648
1606420924,6341,6647
1606421523,6339,6645
1606422123,6335,6641
1606423323,6333,6639
1606426324,6330,6636
1606427523,6328,6634
1606428724,6329,6635
1606430524,6310,6615
1606431723,6310,6615
1606432923,6306,6611
1606434723,6304,6609
1606435323,6305,6610
1606436523,6306,6611
1606437723,6299,6598
1606438324,6298,6597
1606439523,6287,6582
1606440723,6278,6571
1606441324,6262,6549
1606443124,6257,6540
1606444923,6250,6530
1606445523,6248,6528
1606446724,6240,6519
1606447323,6235,6509
1606448523,6224,6488
1606449124,6213,6474
1606450324,6202,6449
1606450923,6194,6439
1606452123,6175,6412
1606453924,6149,6382
1606454523,6116,6335
1606455724,6102,6315
1606456324,6103,6316
1606456923,6100,6313
1606458124,6092,6304
1606459323,6066,6272
1606459923,6047,6250
1606461123,5996,6190
1606461723,5968,6158
1606464127,5951,6140
1606464723,5937,6123
1606465323,5933,6119
1606465923,5921,6107
1606467124,5918,6104
1606467723,5918,6105
1606468924,5915,6100
1606470723,5888,6071
1606471323,5882,6065
1606472523,5876,6058
1606473124,5872,6054
1606474323,5867,6049
1606475523,5870,6052
1606476123,5873,6055
1606477323,5872,6054
1606478524,5874,6056
1606479123,5876,6058
1606480924,5878,6060
1606482123,5876,6058
1606483323,5877,6059
1606485123,5877,6059
1606486323,5876,6058
1606488123,5877,6059
1606489324,5878,6060
1606489923,5875,6057
1606490523,5874,6056
1606491723,5923,6105
1606492323,5923,6105
1606495323,5928,6110
1606495923,5927,6109
1606497123,5926,6108
1606498924,5919,6100
1606500123,5916,6097
1606500723,5917,6098
1606501923,5917,6098
1606502523,5918,6099
1606504923,5912,6091
1606505523,5913,6092
1606506723,5911,6090
1606507323,5907,6086
1606507923,5908,6088
1606509723,5889,6069
1606512123,5887,6067
1606512724,5888,6068
1606513323,5887,6067
1606514523,5888,6068
1606515723,5885,6065
1606516324,5884,6064
1606516923,5885,6065
1606519323,5885,6065
1606519924,5884,6064
1606520524,5884,6064
1606522323,5884,6064
1606522924,5885,6065
1606523524,5886,6066
1606524723,5887,6067
1606525323,5880,6060
1606525923,5879,6059
1606530124,5881,6061
1606531323,5881,6061
1606533123,5879,6059
1606534923,5880,6058
1606536123,5873,6052
1606537323,5872,6051
1606538523,5868,6047
1606540923,5869,6047
1606541523,5867,6045
