DateTime,AddedIPs,RemovedIPs
1606317333,95,0
1606318233,76,95
1606318590,10,19
1606319413,73,82
1606320486,9,14
1606322408,189,167
1606322703,0,254
1606323569,107,78
1606324349,7,17
1606324536,251,0
1606324976,118,6
1606325645,47,74
1606326245,6,16
1606326952,256,0
1606328193,10,16
1606329039,106,74
1606330090,103,113
1606330838,76,0
1606332007,5,17
1606332036,134,66
1606332846,76,100
1606333948,9,11
1606335850,5,11
1606336445,258,365
1606337764,9,20
1606338042,88,0
1606339714,111,83
1606340046,29,75
1606341617,13,11
1606341650,51,0
1606342905,110,83
1606343525,8,4
1606344563,77,65
1606345473,8,6
1606346421,89,90
1606347045,0,256
1606347633,62,87
1606349602,290,0
1606350307,130,87
1606351510,13,14
1606351838,64,86
1606353402,5,25
1606353578,63,58
1606354445,48,56
1606355329,8,17
1606355987,80,95
1606357295,16,14
1606357504,55,4
1606359127,9,18
1606359648,76,55
1606361075,7,14
1606361645,150,139
1606362966,9,19
1606363083,76,20
1606364891,9,8
1606365048,79,43
1606366910,86,47
1606368729,6,20
1606369616,87,9
1606370654,66,38
1606372611,47,59
1606372967,48,0
1606373746,93,4
1606374502,5,14
1606375506,72,8
1606376424,13,5
1606376873,59,111
1606378363,7,12
1606379448,99,144
1606380265,14,18
1606382191,112,203
1606383249,160,153
1606384141,7,7
1606384387,46,0
1606386027,8,8
1606386648,47,116
1606386850,0,14351
1606387930,48,70
1606388599,14378,0
1606389901,5,491
1606391802,8,17660
1606392049,17685,0
1606393685,221,0
1606394235,0,16237
1606395639,110,83
1606397542,16153,10
1606397574,44,77
1606398629,0,761
1606399451,9,7
1606399524,58,73
1606401389,14,11
1606402000,1086,83
1606403290,263,7
1606403730,80,77
1606404647,39,342
1606405233,11,12
1606405531,6,0
1606406057,37,0
1606406433,0,255
1606407130,10,7
1606408233,45,133
1606409072,11,7
1606409409,46,85
1606410965,97,12
1606411275,69,65
1606412045,25,65
1606412885,4,5
1606413640,41,70
1606414831,13,6
1606415138,48,6
1606416114,0,256
1606416728,8,7
1606417237,63,78
1606418651,13,12
1606419244,106,193
1606420587,10,12
1606421738,95,255
1606422486,8,13
1606422640,0,256
1606423289,49,92
1606424408,8,11
1606424520,52,82
1606426356,13,10
1606426445,184,84
1606428269,10,7
1606430185,7,7
1606430450,320,314
1606431006,69,93
1606432159,7,6
1606434042,129,157
1606435481,79,70
1606435942,201,0
1606436584,51,1
1606437895,9,10
1606438205,52,55
1606439782,11,11
1606440201,80,64
1606441702,10,13
1606442447,35,64
1606443662,9,7
1606443906,124,78
1606445528,39,71
1606447454,124,82
1606448047,43,78
1606449402,6,7
1606451289,12,4
1606451446,118,61
1606453229,58,73
1606455153,9,7
1606456004,60,92
1606456205,63,104
1606457052,7,5
1606458965,67,90
1606459503,37,93
1606460913,97,193
1606462811,79,93
1606464728,8,13
1606465848,110,99
1606466674,125,102
1606468581,10,7
1606468974,131,100
1606469646,33,98
1606470499,11,10
1606471421,74,87
1606472472,9,9
1606473245,91,216
1606474359,9,6
1606474998,83,128
1606476260,9,417
1606476848,62,70
1606478204,14,8
1606480088,201,0
1606480246,101,96
1606482144,60,76
1606483959,9,4
1606484045,127,144
1606485316,1532,0
1606485852,11,13
1606485894,61,96
1606487790,59,7
1606488239,48,330
1606489753,14,11
1606490132,65,355
1606491647,101,128
1606492804,254,0
1606493616,64,136
1606494850,93,136
1606495489,10,261
1606496263,74,39
1606497389,12,7
1606498234,64,47
1606498444,18,78
1606499344,13,8
1606501206,49,14
1606501505,70,81
1606503128,13,11
1606504051,75,174
1606505073,12,4
1606507015,121,93
1606507273,255,0
1606508911,12,9
1606509246,95,191
1606510849,19,12
1606511738,48,77
1606512754,113,13
1606512845,63,106
1606514714,13,7
1606515906,149,83
1606516599,11,4
1606516950,28,89
1606518536,53,86
1606519059,33,3
1606520454,48,101
1606522390,445,256
1606523445,165,86
1606524267,11,5
1606524614,70,98
1606526211,5,9
1606526705,74,101
1606527244,38,75
1606528099,11,4
1606530089,9,13
1606530844,138,167
1606531949,9,9
1606533852,9,7
1606534446,145,178
1606535766,8,10
1606537715,12,13
1606538056,115,166
1606539612,15,8
1606539659,41,83
1606541535,64,12
1606541646,34,96
1606543478,7,14
1606544147,58,114
1606545376,51,92
1606547305,10,8
1606549247,105,108
1606550449,59,94
1606551138,3,5
1606552444,85,395
1606553065,7,14
1606555004,9,12
1606555847,109,129
1606556930,8,7
1606557014,61,81
1606558823,12,11
1606559645,140,150
1606560789,6,10
1606562711,111,584
1606563245,46,81
1606564581,11,13
1606564851,80,0
1606566512,311,67
1606567312,92,82
1606568459,14,16
1606569346,65,72
1606570345,6,7
1606570444,78,82
1606571699,0,1780
1606572270,14,9
1606572946,65,0
1606574205,91,157
1606576106,61,70
1606576671,58,4
1606578030,16,8
1606578608,76,64
1606578839,1012,0
1606579982,10,12
1606580173,60,255
1606581032,256,0
1606581850,6,11
1606582284,46,128
1606582861,63,64
1606583797,5,10
1606584304,76,0
1606584633,255,0
1606585757,9,7
1606586176,60,64
1606587639,11,14
1606588234,49,73
1606588443,57,79
1606589543,10,8
1606589589,256,0
1606590464,110,66
1606591496,9,10
1606591974,54,80
1606593395,13,13
1606594535,53,76
1606595285,7,13
