DateTime,AddedIPs,RemovedIPs
1605929648,94,316
1605931481,62,136
1605933246,35,122
1605936844,131,299
1605938648,93,166
1605940443,67,192
1605943504,168,168
1605944046,23,153
1605946936,102,264
1605947645,20,193
1605949152,66,169
1605950705,68,10
1605951244,14,165
1605953751,87,192
1605955805,94,154
1605957132,44,178
1605958247,40,139
1605961401,87,258
1605963005,42,212
1605965644,80,176
1605968672,115,98
1605970566,68,134
1605972305,60,66
1605972844,14,84
1605974355,61,70
1605975517,49,3
1605976452,28,76
1605979505,123,64
1605980045,24,72
1605982553,80,83
1605983645,36,76
1605985259,61,97
1605986704,67,0
1605987245,25,74
1605988623,64,28
1605990083,195,53
1605990846,141,77
1605993906,307,85
1605995405,382,55
1605998051,785,125
1605999751,686,64
1606001646,515,86
1606002816,338,0
1606003946,335,68
1606005244,353,78
1606006612,360,25
1606007782,414,50
1606008846,321,86
1606011905,858,65
1606013405,247,74
1606015505,66,71
1606016980,61,57
1606019646,87,130
1606022705,109,61
1606023895,42,65
1606026853,89,137
1606028121,72,0
1606029338,42,122
1606031404,57,52
1606032946,44,83
1606034045,56,75
1606035466,54,24
1606037105,51,48
1606037644,16,74
1606040705,124,91
1606042053,47,86
1606044846,80,212
1606046239,47,66
1606047629,37,69
1606049415,49,89
1606050718,34,90
1606052050,36,84
1606058706,215,203
1606059245,32,129
1606060374,181,0
1606062307,447,71
1606063684,160,68
1606064857,76,43
1606066446,131,62
1606068151,150,80
1606070045,119,59
1606073644,438,151
1606075131,136,67
1606076704,165,4
1606077244,89,92
1606078731,266,70
1606080305,104,5
1606080854,28,56
1606083905,303,72
1606085412,125,63
1606086739,66,71
1606088045,52,92
1606089374,35,1
1606091109,129,106
1606091646,50,77
1606093163,75,52
1606094705,83,11
1606095247,47,81
1606098856,154,135
1606100961,94,57
1606102445,59,40
1606106055,200,133
1606109105,106,108
1606110402,57,63
1606111591,53,113
1606112703,0,25943
1606114169,25965,0
1606116179,121,65
1606116852,30,62
1606117996,52,0
1606119184,56,84
1606120860,78,84
1606122164,54,75
1606124048,89,74
1606125980,97,73
1606127106,76,3
1606128328,39,65
1606130153,97,67
1606131247,40,58
1606132769,70,51
1606133994,52,6
1606134844,0,26149
1606136747,26141,0
1606137920,0,26141
1606139405,26205,0
1606142050,121,132
1606143372,58,1
1606144919,66,80
1606145651,28,55
1606146828,58,0
1606148708,108,58
1606149834,48,66
1606152306,114,60
1606152846,25,60
1606154024,48,0
1606155562,50,52
1606156445,40,74
1606158965,85,83
1606160052,57,71
1606163645,232,506
1606165399,247,503
1606167250,62,458
1606168859,56,748
