DateTime,AddedIPs,RemovedIPs
1605857825,66,75
1605859950,76,78
1605861866,67,62
1605863805,76,73
1605865722,68,74
1605867637,72,91
1605869551,64,68
1605871452,62,4222
1605873407,138,109
1605875344,1790,1
1605877243,128,127
1605879130,117,75
1605881075,102,54
1605882968,106,67
1605884908,65,55
1605886807,93,96
1605888726,90,73
1605890671,96,71
1605892810,157,78
1605894728,93,90
1605896672,99,46
1605898568,101,80
1605900488,112,58
1605902442,99,75
1605904328,98,63
1605906254,94,80
1605908193,108,99
1605910089,108,69
1605912007,96,72
1605913966,90,73
1605915910,104,87
1605917810,1450,0
1605919704,70,80
1605921643,80,67
1605923589,73,46
1605925476,40,43
1605927426,55,45
1605929330,77,53
1605931236,54,68
1605933191,69,43
1605935068,46,57
1605937013,83,71
1605938928,59,55
1605940839,39,60
1605942726,38,44
1605944654,54,58
1605946567,81,54
1605948511,58,75
1605950403,64,51
1605952330,64,99
1605954280,49,80
1605956168,60,59
1605958333,60,4100
1605960252,1782,0
1605962214,109,130
1605964118,66,55
1605966029,114,67
1605967972,74,60
1605969888,86,71
1605971819,102,86
1605973685,79,85
1605975609,91,76
1605977587,99,76
1605979482,100,52
1605981395,104,68
1605983310,111,72
1605985249,100,71
1605987123,118,68
1605989074,108,64
1605990963,93,89
1605992883,92,87
1605994834,116,95
1605996724,66,73
1605998673,95,53
1606000603,104,85
1606002500,109,94
1606004434,1448,0
1606006350,82,54
1606008250,47,42
1606010164,60,43
1606012109,261,48
1606014025,70,70
1606015928,82,65
1606017876,82,57
1606019766,62,57
1606021688,63,56
1606023631,95,56
1606025529,52,49
1606027448,85,61
1606029395,58,58
1606031283,65,50
1606033204,53,61
1606035149,52,86
1606037068,65,69
1606038964,84,81
1606040909,67,67
1606042818,88,4063
1606044730,78,62
1606046673,1738,0
1606048567,127,111
1606050488,108,86
1606052431,110,107
1606054458,53,56
1606056874,46,65
1606058921,42,97
1606060828,115,60
1606062772,219,80
1606064677,74,64
1606066605,40,88
1606068513,27,71
1606070454,64,40
1606072382,289,42
1606074265,194,67
1606076209,103,93
1606078102,36,72
1606080034,59,104
1606081981,62,59
1606083865,184,58
1606085765,172,67
1606087710,99,62
1606089621,1372,0
1606091532,56,74
1606093480,106,74
1606095369,167,81
1606097294,61,38
1606099233,47,45
1606101127,34,41
1606103052,60,63
1606104992,152,61
1606106890,105,59
1606108806,45,59
1606110748,62,68
1606112656,49,49
1606114570,75,30
1606116511,149,48
1606118417,79,68
1606120329,47,76
1606122274,38,67
